postprocess\\tenshi\\tenshi1.jpg Tenshi_vol_1
postprocess\\tenshi\\tenshi2.jpg Tenshi_vol_2
postprocess\\tenshi\\tenshi3.jpg Tenshi_vol_3
postprocess\\tenshi\\tenshi4.jpg Tenshi_vol_4
postprocess\\tenshi\\tenshi4S.jpg Tenshi_vol_4_special
postprocess\\tenshi\\tenshi5.jpg Tenshi_vol_5
postprocess\\tenshi\\tenshi5.5.jpg Tenshi_vol5.5
postprocess\\tenshi\\tenshi5.5S.jpg Tenshi_vol5.5_special
postprocess\\tenshi\\tenshi6.jpg Tenshi_vol_6
postprocess\\tenshi\\tenshi7.jpg Tenshi_7
postprocess\\tenshi\\tenshi7S.jpg Tenshi_7_special
postprocess\\tenshi\\tenshi8.jpg Tenshi_8
postprocess\\tenshi\\tenshi8S.jpg Tenshi_8_special
postprocess\\tenshi\\tenshi8.5.jpg Tenshi_8.5
postprocess\\tenshi\\tenshi8.5S.jpg Tenshi_8.5_special

postprocess\\Roshidere\\Roshidere1.jpg Roshidere_Volume_1
postprocess\\Roshidere\\Roshidere2.jpg Roshidere_Volume_2
postprocess\\Roshidere\\Roshidere3.jpg Roshidere_Volume_3
postprocess\\Roshidere\\Roshidere4.jpg Roshidere_Volume_4
postprocess\\Roshidere\\Roshidere5.jpg Roshidere_Volume_5
postprocess\\Roshidere\\Roshidere6.jpg Roshidere_Volume_6
postprocess\\Roshidere\\Roshidere7.jpg Roshidere_Volume_7
postprocess\\Roshidere\\Roshidere4.5.jpg Roshidere_Volume_4.5

postprocess\\oshinoko\\oshinoko1.jpg Oshi_no_ko_volume_1
postprocess\\oshinoko\\oshinoko2.jpg Oshi_no_ko_volume_2
postprocess\\oshinoko\\oshinoko3.jpg Oshi_no_ko_volume_3
postprocess\\oshinoko\\oshinoko4.jpg Oshi_no_ko_volume_4
postprocess\\oshinoko\\oshinoko5.jpg Oshi_no_ko_volume_5
postprocess\\oshinoko\\oshinoko6.jpg Oshi_no_ko_volume_6
postprocess\\oshinoko\\oshinoko7.jpg Oshi_no_ko_volume_7
postprocess\\oshinoko\\oshinoko8.jpg Oshi_no_ko_volume_8
postprocess\\oshinoko\\oshinoko9.jpg Oshi_no_ko_volume_9
postprocess\\oshinoko\\oshinoko10.jpg Oshi_no_ko_volume_10
postprocess\\oshinoko\\oshinoko11.jpg Oshi_no_ko_volume_11
postprocess\\oshinoko\\oshinoko12.jpg Oshi_no_ko_volume_12

postprocess\\gosick\\gosicknovel1.jpg Gosick_Light_Novel_Volume_1
postprocess\\gosick\\gosicknovel2.jpg Gosick_Light_Novel_Volume_2
postprocess\\gosick\\gosicknovel3.jpg Gosick_Light_Novel_Volume_3
postprocess\\gosick\\gosicknovel4.jpg Gosick_Light_Novel_Volume_4
postprocess\\gosick\\gosicknovel5.jpg Gosick_Light_Novel_Volume_5
postprocess\\gosick\\gosicknovel6.jpg Gosick_Light_Novel_Volume_6
postprocess\\gosick\\gosicknovel7.jpg Gosick_Light_Novel_Volume_7

postprocess\\datealive\\datealive1.jpg Date_A_Live_Light_Novel_Volume_1
